날짜,서울,부산,대구,인천,광주,대전,울산,세종,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2020-12-15,378,41,27,67,2,15,6,0,329,8,23,35,75,4,28,19,15
2020-12-14,251,41,19,55,5,32,49,1,288,13,25,37,15,1,15,16,9
2020-12-13,219,21,16,36,22,2,5,3,226,14,21,55,8,1,16,28,8
2020-12-12,399,57,28,62,15,13,8,0,331,18,15,10,9,6,18,24,3
2020-12-11,362,59,35,42,9,18,23,1,272,36,21,10,6,8,19,17,0
2020-12-10,252,26,6,37,3,10,47,0,229,11,20,10,7,4,3,12,5
2020-12-09,251,31,3,37,5,9,17,1,215,15,12,20,8,5,8,16,13
2020-12-08,262,19,2,47,9,10,14,1,218,5,22,4,12,2,4,29,0
2020-12-07,212,27,4,25,11,11,61,1,157,8,10,15,13,7,5,13,2
2020-12-06,244,35,5,40,5,2,38,0,156,9,11,10,22,3,9,16,0
2020-12-05,254,34,3,42,5,3,3,3,184,12,14,15,12,8,11,16,0
2020-12-04,235,29,7,19,6,10,1,4,157,9,18,10,17,4,17,27,1
2020-12-03,295,31,6,17,1,21,5,0,160,3,5,23,14,3,9,16,2
2020-12-02,262,15,3,22,3,7,2,4,141,8,10,14,9,2,11,13,1
2020-12-01,193,32,4,23,10,5,10,7,144,12,16,8,26,1,5,7,2
2020-11-30,155,31,11,16,22,10,3,2,96,9,32,16,9,2,11,11,1
2020-11-29,159,52,4,34,13,5,3,1,77,8,22,5,16,4,4,20,1
2020-11-28,158,22,3,21,8,6,0,3,94,19,22,13,17,20,11,15,1
2020-11-27,178,28,1,25,16,13,3,0,126,33,24,17,9,7,5,14,2
2020-11-26,204,24,0,25,13,5,7,3,117,9,20,31,24,11,3,39,3
2020-11-25,213,22,1,19,14,1,7,4,183,8,8,16,16,9,2,45,3
2020-11-24,142,18,5,40,14,4,3,0,82,13,3,18,8,8,3,11,3
2020-11-23,133,6,3,17,3,0,2,2,81,46,3,8,15,7,9,3,1
2020-11-22,112,5,2,23,1,3,1,1,76,12,0,9,9,5,4,2,1
2020-11-21,121,1,1,27,8,0,1,0,75,13,0,13,12,13,6,19,0
2020-11-20,156,7,1,22,7,1,1,0,93,15,1,21,14,19,8,11,0
2020-11-19,132,2,1,30,4,0,0,0,73,24,2,15,13,14,10,18,2
2020-11-18,109,5,2,12,8,1,0,0,64,20,4,13,2,28,8,28,0
2020-11-17,92,5,2,12,9,1,3,0,87,5,0,7,0,15,16,9,0
2020-11-16,90,0,3,13,18,1,0,1,52,13,0,9,0,16,3,3,0
2020-11-15,80,0,0,10,4,3,0,1,42,20,3,6,1,10,14,4,1
2020-11-14,85,0,1,2,9,0,0,0,45,19,8,5,2,9,2,3,0
2020-11-13,69,4,0,1,8,2,0,1,49,18,0,11,4,13,0,4,0
2020-11-12,74,0,1,4,5,0,0,1,47,23,1,8,0,9,0,3,1
2020-11-11,53,2,3,2,6,2,1,0,35,6,1,9,0,8,1,4,1
2020-11-10,45,3,0,1,4,1,0,0,53,9,2,7,1,1,0,11,0
2020-11-09,35,1,1,3,5,0,0,0,33,3,2,4,0,2,1,2,0
2020-11-08,46,2,6,2,1,0,0,0,22,11,4,10,4,2,1,4,0
2020-11-07,54,0,7,3,2,1,1,0,25,9,2,9,0,4,2,10,0
2020-11-06,37,2,1,1,0,1,0,0,21,4,0,9,0,0,0,5,0
2020-11-05,40,0,0,0,0,0,0,0,47,7,0,25,1,0,1,13,0
2020-11-04,50,4,2,5,0,0,0,0,27,1,2,23,0,0,0,5,0
2020-11-03,42,1,2,4,0,1,1,0,43,0,0,10,0,0,2,0,1
2020-11-02,22,1,0,1,2,0,0,0,27,1,1,7,0,0,0,1,0
2020-11-01,25,0,3,2,0,0,1,0,41,1,2,11,0,2,1,1,0
2020-10-31,45,0,2,4,3,0,0,0,38,3,1,9,0,3,0,2,0
2020-10-30,52,2,9,3,0,0,0,3,27,0,0,5,0,0,0,1,0
2020-10-29,48,0,10,3,0,0,2,0,32,6,2,3,2,1,0,1,0
2020-10-28,36,0,3,5,2,0,2,0,58,7,0,1,1,0,1,0,0
2020-10-27,25,0,2,10,0,7,0,0,31,14,0,1,3,0,5,3,0
2020-10-26,24,1,0,2,0,5,0,0,35,6,1,1,0,3,0,5,0
2020-10-25,20,0,0,3,0,1,1,1,67,0,2,1,0,0,3,3,0
2020-10-24,17,1,1,0,0,1,1,0,27,0,0,2,0,0,0,2,0
2020-10-23,22,0,0,2,0,5,0,0,35,0,0,5,0,2,0,0,0
2020-10-22,20,0,5,5,6,0,0,0,103,1,0,4,2,1,0,0,0
2020-10-21,18,5,2,4,0,0,0,0,67,2,0,11,2,0,1,0,0
2020-10-20,17,10,0,6,1,4,1,0,24,2,1,0,0,1,2,0,0
2020-10-19,11,2,0,3,0,1,0,0,28,3,2,2,0,0,2,1,0
2020-10-18,14,15,0,5,2,2,0,0,18,1,1,2,1,0,2,1,0
2020-10-17,20,4,0,1,0,1,0,0,50,2,0,0,0,0,0,0,0
2020-10-16,18,6,1,2,1,0,0,0,32,3,0,2,0,1,0,2,0
2020-10-15,18,0,0,4,0,2,0,0,17,0,0,1,2,0,0,0,0
2020-10-14,25,55,0,11,0,1,0,0,8,1,1,0,1,0,1,0,0
2020-10-13,23,2,0,8,0,4,1,0,31,0,0,1,0,0,0,0,0
2020-10-12,20,1,1,0,2,10,0,0,38,4,1,2,1,0,1,0,0
2020-10-11,31,4,0,3,1,13,0,0,30,1,0,2,2,0,1,1,0
2020-10-10,23,3,1,1,0,2,1,0,21,2,0,1,0,0,0,0,0
2020-10-09,25,3,1,8,0,1,0,0,24,0,0,3,0,2,0,0,0
2020-10-08,22,5,1,0,0,5,0,0,12,0,1,0,0,1,0,1,0
2020-10-07,20,5,0,5,0,7,0,0,24,0,1,0,0,0,1,3,0
2020-10-06,33,2,1,6,0,2,1,1,53,0,0,0,8,0,0,0,0
2020-10-05,15,3,0,4,0,3,1,0,35,0,0,0,9,0,0,0,0
2020-10-04,19,5,1,5,0,1,4,1,27,0,1,2,3,0,1,1,0
2020-10-03,16,5,2,6,1,2,1,0,16,0,2,0,0,0,4,0,0
2020-10-02,26,8,0,7,0,2,0,0,10,0,1,1,1,3,2,0,0
2020-10-01,11,18,0,4,0,0,0,0,19,0,0,1,0,0,4,0,0
2020-09-30,30,6,1,3,0,0,0,0,21,0,1,3,0,1,5,0,0
2020-09-29,51,5,2,4,3,2,1,0,26,0,0,5,3,0,6,0,0
2020-09-28,11,3,0,0,0,0,0,0,10,0,1,2,0,0,2,0,0
2020-09-27,19,1,0,1,0,0,1,0,14,1,1,0,0,0,4,1,0
2020-09-26,34,3,0,9,2,0,0,1,21,0,2,2,2,1,6,1,0
2020-09-25,26,2,1,1,0,1,0,0,14,0,0,0,3,0,3,1,0
2020-09-24,57,3,0,3,2,0,0,1,27,1,3,1,3,0,6,1,0
2020-09-23,39,7,1,10,0,1,0,3,48,2,2,1,1,1,2,1,1
2020-09-22,40,7,3,5,2,0,2,0,30,1,2,5,1,0,6,0,0
2020-09-21,21,5,0,2,0,0,1,1,20,2,2,0,0,0,4,1,0
2020-09-20,23,8,1,2,1,2,0,0,18,0,2,0,0,0,1,2,0
2020-09-19,28,6,2,3,0,2,1,0,26,0,1,1,0,0,5,1,0
2020-09-18,40,2,2,11,0,2,0,0,41,0,1,4,1,0,4,1,0
2020-09-17,46,2,2,6,0,3,0,0,37,0,3,6,8,0,5,4,2
2020-09-16,63,2,2,7,1,2,0,0,54,0,0,10,0,1,6,3,0
2020-09-15,51,4,4,9,2,1,0,0,26,0,2,2,5,0,2,3,0
2020-09-14,32,4,0,9,1,3,0,0,39,1,2,3,1,0,1,2,3
2020-09-13,41,3,4,10,3,1,1,0,30,0,0,8,1,0,1,1,0
2020-09-12,31,3,14,3,3,2,7,0,32,1,0,11,2,0,2,3,0
2020-09-11,50,4,4,8,3,7,1,0,32,3,0,6,1,1,2,3,1
2020-09-10,63,3,1,8,8,11,5,0,47,0,1,14,0,2,2,0,2
2020-09-09,48,1,1,5,5,11,4,0,50,2,3,12,1,2,3,1,2
2020-09-08,49,2,2,1,17,8,4,2,55,0,1,8,1,1,0,1,0
2020-09-07,67,1,2,2,13,4,3,1,31,0,1,0,3,1,3,0,0
2020-09-06,48,9,2,1,9,5,3,0,31,0,0,3,1,0,0,3,0
2020-09-05,63,2,5,12,7,5,1,0,47,5,2,2,1,3,2,6,0
2020-09-04,51,10,5,14,8,2,1,0,50,3,4,4,2,0,1,8,1
2020-09-03,68,4,7,5,11,4,3,0,56,3,4,21,0,1,4,3,0
2020-09-02,69,4,3,16,6,4,8,0,64,4,1,7,0,6,0,0,0
2020-09-01,101,7,13,11,10,14,5,0,84,2,1,7,0,3,4,1,1
2020-08-31,94,3,2,22,4,8,6,0,63,4,1,7,0,4,9,3,1
2020-08-30,94,4,4,14,9,7,5,1,79,3,1,9,1,5,2,1,6
2020-08-29,116,6,30,13,2,6,3,1,80,2,5,8,0,8,3,7,2
2020-08-28,125,6,6,20,16,4,0,0,104,0,6,8,0,9,1,12,1
2020-08-27,146,8,8,27,17,3,1,2,113,3,5,9,2,12,1,4,2
2020-08-26,154,8,13,59,39,3,2,0,102,14,1,15,2,13,4,8,1
2020-08-25,112,4,3,27,7,7,2,0,98,18,0,12,7,13,0,5,2
2020-08-24,134,3,5,15,4,11,0,3,72,8,2,9,4,1,1,2,3
2020-08-23,97,3,0,20,1,10,1,3,85,6,10,8,4,7,6,1,0
2020-08-22,140,2,6,32,17,15,3,0,125,15,3,10,0,14,2,9,0
2020-08-21,128,3,9,22,11,5,3,1,95,16,2,7,4,7,4,9,2
2020-08-20,126,8,4,18,5,7,1,3,103,9,3,13,5,6,6,4,0
2020-08-19,135,15,3,10,1,8,0,1,85,5,1,5,6,3,5,3,0
2020-08-18,151,9,2,8,6,0,0,2,99,6,2,3,1,2,3,1,0
2020-08-17,132,7,6,18,4,0,3,0,52,2,1,5,7,0,3,0,0
2020-08-16,90,7,1,7,7,2,0,0,70,1,3,4,1,0,2,0,0
2020-08-15,146,7,1,9,7,0,3,0,98,0,1,5,0,0,0,2,0
2020-08-14,74,3,0,6,1,1,0,0,72,3,0,2,1,0,0,1,0
2020-08-13,32,5,0,4,2,0,1,0,47,1,0,3,0,0,1,0,0
2020-08-12,26,2,1,0,2,0,1,0,17,0,0,1,2,0,0,1,0
2020-08-11,15,4,0,0,6,1,0,0,19,0,0,1,0,0,0,0,0
2020-08-10,6,9,0,0,0,0,0,0,13,0,0,2,1,0,0,0,0
2020-08-09,13,1,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0
2020-08-08,13,0,1,1,2,0,1,0,15,0,1,1,0,0,0,0,0
2020-08-07,17,0,1,2,0,0,0,0,18,0,0,0,0,0,0,0,0
2020-08-06,9,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
2020-08-05,9,3,0,0,0,0,0,0,13,2,1,2,0,2,4,1,0
2020-08-04,6,0,1,1,1,0,0,0,7,1,6,0,0,0,0,4,0
2020-08-03,9,1,0,1,2,0,0,0,11,0,1,0,0,1,1,0,0
2020-08-02,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
2020-08-01,5,1,2,0,1,0,0,0,3,0,0,0,0,0,1,0,0
2020-07-31,2,1,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0
2020-07-30,8,0,1,0,0,0,0,0,10,2,0,1,0,0,2,0,0
2020-07-29,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0
2020-07-28,9,1,0,3,1,0,1,0,11,0,0,0,0,0,1,0,0
2020-07-27,6,2,0,0,0,0,0,0,6,0,0,1,0,2,1,0,0
2020-07-26,9,1,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0
2020-07-25,7,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0
2020-07-24,11,5,0,0,0,0,1,0,14,0,0,0,0,1,0,0,0
2020-07-23,21,2,2,0,2,0,0,0,8,0,0,0,0,0,1,2,0
2020-07-22,12,2,0,3,9,0,0,0,28,0,0,0,0,0,0,0,0
2020-07-21,16,0,1,5,4,0,0,0,15,0,1,1,0,0,0,1,0
2020-07-20,21,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1
2020-07-19,3,0,2,2,1,0,0,0,1,0,0,1,1,2,1,2,0
2020-07-18,10,0,0,1,10,1,0,0,4,0,0,0,0,0,0,0,1
2020-07-17,6,1,3,2,0,0,1,0,10,0,0,0,0,1,0,2,1
2020-07-16,9,0,0,0,5,1,0,0,15,0,0,0,0,0,0,2,3
2020-07-15,7,0,2,3,1,1,1,0,21,3,1,0,0,0,0,1,0
2020-07-14,6,0,0,1,1,3,0,0,5,0,0,0,0,0,0,0,0
2020-07-13,7,0,0,0,1,1,0,0,9,0,1,0,2,0,0,0,0
2020-07-12,13,0,1,3,7,0,0,0,11,2,1,4,0,0,0,2,0
2020-07-11,7,0,0,0,5,1,0,0,17,0,0,0,1,0,0,1,0
2020-07-10,8,0,0,1,9,2,0,0,4,0,0,1,2,0,0,0,0
2020-07-09,8,0,0,1,3,7,0,0,14,0,2,0,0,3,0,3,0
2020-07-08,8,0,0,3,15,6,0,0,8,0,0,1,1,1,0,2,0
2020-07-07,10,0,1,1,8,2,0,0,18,0,0,6,2,1,0,2,0
2020-07-06,3,0,1,2,6,2,0,0,13,0,0,0,1,0,0,0,0
2020-07-05,3,1,2,6,7,2,0,0,6,1,0,1,0,2,1,1,0
2020-07-04,16,0,0,0,16,8,0,0,8,1,0,0,1,0,1,0,1
2020-07-03,7,1,1,2,8,3,0,0,19,0,2,0,0,0,1,1,0
2020-07-02,12,0,11,1,6,4,0,0,18,0,0,1,1,0,1,2,0
2020-07-01,13,0,3,0,22,1,0,0,10,0,0,3,0,0,0,0,0
2020-06-30,9,0,1,2,12,4,0,0,16,0,0,1,0,1,0,0,0
2020-06-29,7,1,0,3,3,5,0,1,7,1,1,0,0,0,1,0,0
2020-06-28,7,1,2,1,4,2,0,0,16,0,0,0,1,1,1,1,0
2020-06-27,14,0,0,0,4,6,0,0,17,0,1,1,0,3,0,0,0
2020-06-26,17,0,1,1,0,2,0,0,17,0,1,0,1,0,0,0,0
2020-06-25,17,0,0,2,0,4,0,0,4,1,0,3,0,0,1,0,0
2020-06-24,9,0,0,1,0,4,0,0,9,0,0,1,0,0,0,0,0
2020-06-23,11,2,2,3,0,8,2,0,7,1,0,1,1,0,1,0,0
2020-06-22,6,0,1,1,0,4,0,0,7,0,1,0,0,0,0,0,0
2020-06-21,5,0,1,1,0,0,0,0,6,0,0,2,1,0,1,0,0
2020-06-20,17,0,1,0,1,10,0,1,10,2,0,1,0,0,0,1,0
2020-06-19,14,2,2,5,0,5,0,0,17,0,0,2,1,0,1,0,0
2020-06-18,18,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,3
2020-06-17,25,0,1,1,0,7,0,1,16,0,0,3,1,0,0,0,0
2020-06-16,13,0,1,2,0,5,0,0,13,0,0,1,0,0,0,0,1
2020-06-15,12,1,0,2,0,3,0,0,5,0,0,0,0,0,0,2,0
2020-06-14,7,0,0,8,0,0,0,0,10,0,0,2,0,0,0,3,0
2020-06-13,12,0,2,8,0,0,0,0,10,1,0,0,0,0,0,0,0
2020-06-12,29,0,3,1,0,0,0,0,14,0,0,1,0,0,0,0,0
2020-06-11,25,0,1,1,0,0,0,0,19,0,0,0,0,0,0,0,0
2020-06-10,21,0,0,6,0,0,0,0,16,0,0,0,0,0,0,0,0
2020-06-09,12,0,0,8,0,0,0,0,21,1,0,0,0,0,0,2,0
2020-06-08,19,0,0,3,0,0,0,0,13,0,0,2,0,0,0,1,0
2020-06-07,22,0,1,4,0,0,0,0,8,0,0,0,0,0,0,0,0
2020-06-06,27,0,1,6,0,0,1,0,19,0,1,0,0,0,0,0,0
2020-06-05,23,0,0,11,0,0,0,0,8,1,0,1,0,0,1,1,0
2020-06-04,15,0,1,6,0,0,0,0,13,0,0,1,0,0,2,0,0
2020-06-03,14,0,0,7,0,0,0,0,15,0,0,0,0,0,1,0,0
2020-06-02,19,0,1,17,0,0,0,0,12,0,0,0,0,0,0,0,0
2020-06-01,14,0,0,8,0,0,0,0,15,0,0,0,0,0,0,0,0
2020-05-31,1,0,1,18,0,0,0,0,12,0,0,0,0,1,0,0,0
2020-05-30,6,1,1,3,0,1,2,0,12,0,0,0,0,0,0,0,1
2020-05-29,9,1,2,5,2,0,0,0,13,1,0,0,0,1,0,0,0
2020-05-28,20,0,0,18,0,0,0,0,20,0,0,0,0,0,0,0,0
2020-05-27,24,1,2,22,0,0,0,0,21,0,0,1,0,0,1,0,0
2020-05-26,19,0,3,11,0,0,0,0,6,0,0,0,0,0,0,0,0
2020-05-25,9,0,1,3,0,0,0,0,2,0,1,0,0,0,1,0,0
2020-05-24,6,0,1,1,0,0,0,0,6,0,0,0,0,0,1,0,0
2020-05-23,6,0,0,2,0,0,0,0,6,1,0,0,0,0,6,0,0
2020-05-22,4,0,1,0,0,1,0,0,13,0,0,0,0,0,0,1,0
2020-05-21,2,0,0,1,0,0,1,0,6,0,0,0,0,0,2,1,0
2020-05-20,4,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-19,10,0,1,8,0,0,0,0,10,0,0,0,1,0,0,0,0
2020-05-18,6,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0
2020-05-17,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0
2020-05-16,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0
2020-05-15,5,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0
2020-05-14,14,0,3,5,0,0,0,0,3,0,0,0,0,1,0,0,0
2020-05-13,4,0,0,12,0,0,0,0,6,1,3,1,0,1,1,0,0
2020-05-12,12,3,3,2,0,0,1,0,2,0,0,0,1,0,0,1,0
2020-05-11,12,0,1,1,0,2,0,0,8,0,0,0,0,0,1,1,0
2020-05-10,20,0,0,3,0,0,0,1,4,1,3,0,0,0,0,0,0
2020-05-09,14,0,2,3,0,0,0,0,6,0,2,0,0,0,0,0,1
2020-05-08,12,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
2020-05-07,0,2,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0
2020-05-06,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
2020-05-02,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-05-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0
2020-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
2020-04-27,4,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,0
2020-04-26,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0
2020-04-25,0,1,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0
2020-04-24,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-04-23,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2020-04-22,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-04-21,2,2,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0
2020-04-20,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-04-19,0,2,1,1,0,0,1,0,2,0,0,0,0,0,2,0,0
2020-04-18,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-04-17,1,0,3,1,0,-1,0,0,4,1,0,2,0,0,2,1,0
2020-04-16,2,0,0,1,2,1,0,0,1,0,0,0,0,0,4,0,0
2020-04-15,2,3,4,0,0,0,0,0,4,1,0,0,0,0,4,0,0
2020-04-14,5,1,1,0,1,0,0,0,6,2,0,0,0,0,6,0,1
2020-04-13,2,0,3,1,0,0,1,0,8,0,0,0,0,0,5,0,0
2020-04-12,8,0,3,1,0,0,0,0,3,0,0,0,0,0,4,0,0
2020-04-11,3,0,2,1,0,0,0,0,4,0,0,1,0,0,3,0,0
2020-04-10,4,0,7,0,0,0,1,0,9,0,0,0,0,0,3,0,0
2020-04-09,5,1,0,1,0,0,0,0,9,0,0,0,0,0,7,0,0
2020-04-08,12,0,4,0,0,0,0,0,10,0,0,1,0,0,0,2,0
2020-04-07,12,0,4,0,0,0,0,0,10,0,0,1,0,0,0,2,0
2020-04-07,11,2,9,4,0,0,0,0,6,2,0,0,1,0,3,1,0
2020-04-06,4,1,13,0,0,0,0,0,10,2,0,1,0,0,1,1,0
2020-04-05,11,0,13,1,0,2,0,0,8,0,0,1,0,0,2,2,0
2020-04-04,24,0,7,2,1,1,0,0,10,3,0,0,1,0,4,1,3
2020-04-03,22,0,27,3,0,0,0,0,23,1,0,1,0,0,1,1,0
2020-04-02,18,0,9,1,1,0,0,0,23,2,1,1,1,1,5,1,0
2020-04-01,14,0,21,4,1,0,1,0,17,1,0,2,0,2,2,6,0
2020-03-31,24,3,20,5,4,0,0,0,23,2,0,3,1,3,2,4,0
2020-03-30,24,1,60,6,0,2,0,0,13,0,0,1,0,0,2,1,0
2020-03-29,16,1,14,0,0,0,0,0,15,2,3,0,1,0,11,1,1
2020-03-28,20,3,23,7,0,3,0,2,15,2,0,1,2,1,2,3,0
2020-03-27,18,1,71,5,0,0,0,0,21,1,0,2,0,0,2,0,1
2020-03-26,12,1,34,3,1,1,2,0,11,0,2,0,0,0,9,1,1
2020-03-25,13,0,26,1,0,6,0,0,14,0,1,1,0,0,12,0,0
2020-03-24,13,1,14,1,0,0,1,2,21,1,0,3,0,2,5,0,2
2020-03-23,4,2,31,1,0,0,0,0,15,0,1,0,0,0,1,1,0
2020-03-22,6,1,24,0,0,0,0,1,14,0,2,0,0,0,2,1,0
2020-03-21,10,0,43,0,1,2,0,0,16,0,1,1,0,1,11,1,0
2020-03-20,15,0,69,4,0,0,0,0,12,0,1,0,0,0,40,0,0
2020-03-19,17,1,34,4,1,0,0,0,14,0,0,1,0,0,13,1,0
2020-03-18,12,0,97,0,0,0,6,0,18,0,1,0,1,0,12,0,0
2020-03-17,5,0,46,1,1,0,2,1,15,1,1,3,2,1,9,0,0
2020-03-16,12,0,32,1,0,0,0,0,31,0,0,0,0,0,5,1,0
2020-03-15,6,1,35,0,0,0,0,1,20,0,0,0,0,0,7,0,0
2020-03-14,9,3,41,2,1,0,1,1,11,0,3,0,0,0,4,0,0
2020-03-13,13,3,62,1,0,0,0,6,15,0,1,0,0,0,6,0,0
2020-03-12,13,1,61,2,0,2,2,17,7,0,0,1,0,0,4,0,0
2020-03-11,19,1,73,0,0,2,0,5,3,0,0,2,0,0,8,1,0
2020-03-10,52,2,131,12,0,0,1,2,12,1,2,8,0,0,18,1,0
2020-03-09,11,0,92,4,0,-1,0,2,11,0,0,2,0,0,10,0,0
2020-03-08,10,-1,190,0,2,1,0,3,11,1,1,4,0,0,26,0,0
2020-03-07,12,1,297,0,0,0,1,1,11,1,4,6,0,0,32,1,0
2020-03-06,3,1,390,0,0,0,0,1,10,1,5,2,0,0,65,5,0
2020-03-05,2,3,367,0,-1,2,0,0,10,2,3,4,0,0,123,3,0
2020-03-04,4,-1,321,0,1,1,0,0,9,2,1,4,0,-1,87,9,1
2020-03-03,1,3,405,2,2,1,3,0,7,1,0,1,0,0,89,1,0
